date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:17	88915/88915	---MCZ	200	added ('OK')	text/html	etag:W/%22a5a0ba8194a9aef4459befc3fcb2fbdc%22	https://www.colsubsidio.com/apoyo-financiero/subsidio	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero/subsidio.html	(from https://www.colsubsidio.com/)
09:51:17	127049/127049	---MCZ	200	added ('OK')	text/html	etag:W/%227130e04002257df31421dbd72fc94a2e%22	https://www.colsubsidio.com/apoyo-financiero/creditos	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero/creditos.html	(from https://www.colsubsidio.com/)
09:51:17	99249/99249	---MCZ	200	added ('OK')	text/html	etag:W/%22ebad4ce4c477e04bb9b5508d1244a233%22	https://www.colsubsidio.com/apoyo-financiero/seguros	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero/seguros.html	(from https://www.colsubsidio.com/)
09:51:18	101651/101651	---MCZ	200	added ('OK')	text/html	etag:W/%22e87632b654952167a189cbfbf6b81792%22	https://www.colsubsidio.com/apoyo-financiero/educacion	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero/educacion.html	(from https://www.colsubsidio.com/)
09:51:18	129579/129579	---MCZ	200	added ('OK')	text/html	etag:W/%22d5eea5275525eb42812266463fd7acca%22	https://www.colsubsidio.com/apoyo-financiero	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero.html	(from https://www.colsubsidio.com/)
09:51:19	103778/103778	---MCZ	200	added ('OK')	text/html	etag:W/%227ac5dfaa1fa037306191f661703f428f%22	https://www.colsubsidio.com/apoyo-financiero/subsidio/vivienda	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero/subsidio/vivienda.html	(from https://www.colsubsidio.com/)
09:51:19	89672/89672	---MCZ	200	added ('OK')	text/html	etag:W/%22bd13ab4e83b770e7a930d9f1960b2bf3%22	https://www.colsubsidio.com/apoyo-financiero/creditos/vivienda	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero/creditos/vivienda.html	(from https://www.colsubsidio.com/)
09:51:19	246539/246539	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Sep%202023%2015:00:15%20GMT	https://www.colsubsidio.com/vivienda/proyectos/	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/vivienda/proyectos/index.html	(from https://www.colsubsidio.com/)
09:51:20	84934/84934	---MCZ	200	added ('OK')	text/html	etag:W/%22e48e1747ae3c176c85990b67a3191080%22	https://www.colsubsidio.com/apoyo-financiero/seguros/en-linea/hogar-y-contenidos	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/apoyo-financiero/seguros/en-linea/hogar-y-contenidos.html	(from https://www.colsubsidio.com/)
09:51:21	123886/123886	---MCZ	200	added ('OK')	text/html	etag:W/%2275e7c05416f24d804bf6908d7672f390%22	https://www.colsubsidio.com/vivienda/pago-cuota-inicial	C:/Users/huertasjs/Documents/HTTrackPortable/httrack/colsubsidio/colsubsidio/www.colsubsidio.com/vivienda/pago-cuota-inicial.html	(from https://www.colsubsidio.com/)
